,action,adaptation,addiction,anticipation,anxiety,arousal,association,attention,autobiographical_memory,balance,belief,categorization,cognitive_control,communication,competition,concept,consciousness,consolidation,context,coordination,decision,decision_making,detection,discrimination,distraction,eating,efficiency,effort,emotion,emotion_regulation,empathy,encoding,episodic_memory,expectancy,expertise,extinction,face_recognition,facial_expression,familiarity,fear,fixation,focus,gaze,goal,hyperactivity,imagery,impulsivity,induction,inference,inhibition,insight,integration,intelligence,intention,interference,judgment,knowledge,language,language_comprehension,learning,listening,localization,loss,maintenance,manipulation,meaning,memory,memory_retrieval,mental_imagery,monitoring,mood,morphology,motor_control,movement,multisensory,naming,navigation,object_recognition,pain,perception,planning,priming,psychosis,reading,reasoning,recall,recognition,rehearsal,reinforcement_learning,response_inhibition,response_selection,retention,retrieval,reward_anticipation,rhythm,risk,rule,salience,search,selective_attention,semantic_memory,sentence_comprehension,skill,sleep,social_cognition,spatial_attention,speech_perception,speech_production,strategy,strength,stress,sustained_attention,task_difficulty,thought,uncertainty,updating,utility,valence,verbal_fluency,visual_attention,visual_perception,word_recognition,working_memory
lh_parsopercularis_1,0.8202387151967887,-0.6968924224442963,-0.7343739325077624,-0.6642499344097641,-1.0791064033986946,-0.25065261446119697,-0.46065242965095515,-1.060948473129404,0.6575023541862273,0.24106526420314503,-0.20174148614246099,-0.18812929300980194,0.771541417736194,0.43560356718752513,0.25846954695515567,-0.13541768176158528,-0.20585288694417644,-0.47050041007373966,1.0692442974184329,0.3970272598593858,0.6922200534222047,-0.5801226530064026,-0.4120844195644973,-0.24213232239529886,0.1660501588453396,-0.25457734674992444,-0.3919780544621335,0.29462795749019566,-0.3957874094120831,0.4402728163816038,1.0657567709496265,1.3195585359841178,0.43850336047065647,0.10627661646149618,0.0021444534850920552,-0.6049111507062641,-0.9032761133510226,-0.5258324560638761,0.5225397431533816,-0.9310478513223844,-0.3326096664504387,-0.031732165495792816,-0.3783517549045025,-0.09683477037807461,-0.7531641345122483,1.059761297069407,-0.7196778497712076,-0.23973608641332073,0.19978954846888702,-0.2726401871776376,-0.5357241712714116,0.4292587933205479,-0.5880014446258117,-0.2492601486259986,0.706952763651158,2.148838534863209,1.0524819847966869,7.0413962253227576,2.3431005150600326,-0.6690792110901902,2.062372088286402,-0.2280753206700304,-1.253218510214384,0.9364986107258644,1.1952012856477365,3.537221997761542,2.0371055028639917,0.6437035042064438,0.7885441834793119,0.5521978663422252,-0.6105889630184488,-0.19817791326775805,-0.35667343734629453,-0.6754329745073293,-0.2602954185258127,2.4151574353420577,-0.5904989691881447,-0.7503310555437002,0.0409882127831232,-0.44883165863167546,0.2957041695552786,0.39625653382444054,-0.4810393848642418,4.215410381168025,0.4676935699632681,1.2088717965064921,0.7433365863711098,1.8154414040851845,-0.5040774244631242,-0.2483933431695123,-0.10589691178285511,0.11992377079411702,2.834735875508122,-0.6705519404735714,0.008846833798799185,-1.4948643863453985,0.5004363751367372,-0.7010280080738547,0.4946401690700981,-0.5007071106308929,1.6642109837067836,3.1705156130300045,0.18722625838153223,-1.0001934662084668,-0.4351521253410807,-1.0323288788573026,0.7665745866006873,1.2670866269401684,0.6649302993594988,-0.4877334796660189,-0.9646185270715693,-0.2119697278340694,0.9007427740796269,0.7802413048817229,-0.3382481892558238,0.12651851915714407,-0.6683128199227043,-0.13489782275143042,1.9988062551696046,-0.5992937657988636,-0.2734524989688296,1.6093523166440822,1.7709423280459677
lh_rostralmiddlefrontal_1,0.5754032067743597,-0.7022195460756512,-0.21263951690552602,-0.33974055833966643,-0.4436376728052295,-0.17677101614703303,-0.07832152982842167,0.3157398231595913,0.6659899316271308,-0.12671408928315542,0.20044739645962445,0.29587994042990473,1.6906037687324924,-0.45706892242202196,0.6344039966577494,-0.028565434505631922,0.1744449938860515,-0.06679881176831023,0.7105949833401769,-0.027068105516453552,0.8650260749694939,0.48228386371892945,-0.4457828316421712,-0.33867975955844704,0.5227088372527909,0.13262197420378577,0.3340220664648982,0.25587094715598574,-0.36764600374566697,-0.06097056516874526,-0.33444386378254015,0.9970813926847888,1.0192811144955445,0.2325884682193297,0.1861446879357198,0.21767160284156525,-0.3986886859876964,-0.3096356310680514,0.6284631235974314,-0.2991930461256606,-0.012768718170672095,-0.30985468949689216,-0.5123163175294868,0.6081552482922381,-0.013796156820990254,0.4734725089644397,-0.17776538130461514,0.08785078892037158,-0.34793668793150556,0.6674477408434288,-0.5337250974743536,0.0675563045677829,0.2514555619404059,-0.008377214262566787,1.3770236416665362,0.5987880293313935,0.11748838162409425,1.2445970334439784,-0.09132795831204603,-0.01818578909006532,-0.25461200506964504,-0.21763338081341882,-0.5931232714705081,0.8565509503690774,0.5351431951852997,0.5547072376342763,3.1256810116154607,1.3755454234074744,0.684362084978268,0.8976206163091477,-0.21378155592955872,-0.7809217269555623,-0.19719804310112235,-0.43819639088320456,-0.2809385955962999,0.5794189562773149,0.07754340199437117,-0.5204154967654333,-0.4125657410874027,-1.1641655950169385,0.963956694590477,-0.3074837356052126,-0.3313206805449511,0.9142645250265058,1.0730916111943496,1.040910907688116,0.7445903969778545,0.3406990994403683,-0.003128811800619724,0.7552779689850975,0.5999381849541384,0.40486653377919507,2.519035753097469,-0.19042143107729154,-0.22562335563847788,-0.4519514585883152,1.5774783021392147,0.08078824109361177,-0.008117016526592975,0.20683119073467057,0.462643951195322,0.6880242273008073,0.61387678805184,-0.38343267833427297,-0.1766568129305253,-0.6307576544703475,-0.5337063634436213,-0.256517188413848,0.32262139091528247,0.03630946783539772,-0.8206723172245789,0.0104139283053271,0.6164291921631605,0.4621099962175899,-0.14125968483748333,0.10020126542745683,-0.17013946006620168,-0.4032518441711277,0.7274296917433319,-0.08628113499098278,-0.13031167637689886,0.45766333170771856,2.8106794314284143
lh_rostralmiddlefrontal_2,0.06877796551952683,-0.6956145947096507,-0.41282083338936776,0.05904483832797911,-0.5090356243829043,-0.1448818418570432,0.2265726267195676,0.09479700504337664,0.39573792156633353,0.038274091475560164,0.11046528085439365,-0.42970123962257034,0.8202618723536416,-0.23101559803309302,0.3942981760370916,-0.246357820027541,-0.16585223739542124,-0.5231772076522906,0.30366098768280264,-0.2995182299814713,0.5247950966105656,0.4615716471971062,-0.3098989977864226,-0.23854690462426614,0.07032953072937753,-0.29117149670318204,0.14575781657123826,0.07927986035571807,0.09793598883836573,0.3601912160436588,-0.006192439304041665,0.8918664277693441,1.2053674602593654,0.46780594792340136,-0.36122858652993783,0.27841051085283663,-0.5099960372323824,-0.3514413247979887,0.13535799697155765,-0.18635820347444848,-0.1362339522520729,-0.021088531745089102,-0.5936784208984063,0.25599674226583613,-0.2241136383628354,0.29087655997132605,0.27261677539234014,0.11960193442098563,-0.6508978789419175,0.49077938245792696,-0.3855015683274863,-0.49437870545707024,-0.21601793336163536,0.014809090235247265,0.8365986111615543,-0.35484616283022924,0.08106225938597818,-0.2629431949816895,-0.42719650809728654,0.07491410255699461,-0.3171696624854894,-0.2514379669139745,-0.9234560454039713,0.5856303517051632,0.1627268713905697,0.12002798237680874,2.397595255195531,0.9948946802305216,-0.2968320321183167,1.0551694168763315,-0.3773364933375251,-0.6449427681816701,-0.33304665912028913,-0.6691290716891075,-0.3623932444435858,0.2204653287223058,-0.09508592949626227,-0.8987993164219291,1.0071574411657271,-1.041644937316443,0.7078415000401361,-0.6823399079850959,-0.3560335693142447,-0.46369566152201513,0.38881990158794516,1.1050202552196968,-0.011353681213669978,0.5553227710156189,-0.228546260045031,0.8270347415396415,0.5456905398363967,0.1272921400161779,2.127494819000047,-0.06043787719428378,-0.40601774119866707,-0.17624640804527825,0.6538110763568827,0.3696027537555788,-0.2989708066572153,-0.18575864794577557,1.198820532461209,-0.12714153234950995,0.24991052040778275,-0.3249211712674548,0.20627828767205633,-0.5058599888496116,-0.23573084372125688,-0.24090206569013634,-0.11433385634749503,0.0723079780467494,-0.48224554274221654,0.07437389494548904,0.3326654267993714,0.6698627884333821,0.013978038065111408,0.4308460344358076,-0.011567248892289956,-0.24246218003816722,0.0771323606986376,-0.2051077900514909,-0.48881339308419464,-0.39836945028950194,1.7833013100923745
lh_rostralmiddlefrontal_3,-0.3990962149064625,-0.24394488877215162,0.008703936159407158,-0.18003681123176218,-0.5649444371169298,-0.1608318152350008,0.22057313065318457,-0.4759839033281311,0.8216238332743241,0.07337138798049406,0.29565839489853446,-0.010077659252298234,0.3418572340181497,-0.19690554928167286,0.017323926915501973,-0.3889559736473406,-0.20658997479101632,-0.4022226385972893,0.403108933765667,-0.3140936434698982,0.6346828490754779,0.7583557279676764,-0.012588174050195317,-0.44187073814734823,-0.15120964485885607,0.008422127834529633,0.048141249879133236,0.13340082716000248,0.1213834721269488,0.3626985154818003,-0.14001947016306965,0.520832119162966,1.066868239716171,0.6435106802840576,-0.2639161111488935,-0.257088376437949,-0.5861931187223145,-0.011878608662674511,0.34648346069295305,-0.335099077955222,-0.2726754275179841,-0.40470129680991973,-0.25942597758374175,0.34112792725345265,-0.15399325922479615,-0.029255983944786536,0.1317465480392171,-0.09243025718737183,0.2615786676600473,-0.23713982345661772,-0.37446097910876164,-0.043477396327759876,0.06280150220362703,0.0020515154741487392,0.13149363318664048,0.7289052283250509,0.19794435734183155,0.1396208135377311,-0.15507673507777553,-0.034188752716800525,-0.565702132638599,0.3829228964314792,0.0338088724397553,0.3297612300863746,0.017515741759157717,0.12169772160788594,1.4590372618983056,1.1748738262034673,0.09571919353041584,0.20542379550568884,-0.055202406570146,0.14018184896514557,-0.3592407700699898,-0.8613228841861694,-0.4906489482880275,0.27353323799943635,-0.25771787268062385,-0.5952839741747744,0.03789069030205075,-0.8115216299005764,0.6380002476326162,-0.056659099651834265,-0.30767298209486754,-0.2393959153388422,1.1766734807285693,0.7106673334892105,0.3770802610025971,-0.02538083123602762,-0.1293021558433276,-0.12763986203071515,0.08072865683892914,0.058878679713742596,2.199525117200366,-0.025330342685608877,-0.4504275721641555,-0.331651361640008,1.2950509619860855,-0.05331316998907155,0.019682135327929038,-0.2543398414406217,0.37664991667023684,0.1432473525083026,0.0197422897172977,-0.10504971825558726,0.5657367732294418,-0.402094056260341,-0.326279630432501,-0.37821997822737996,0.4025504919744421,0.5845809599990737,0.16113340518783792,-0.24641724120678898,0.05324697892856483,0.2920562379717384,0.08185313768616169,-0.3212195098883755,-0.07062177593086848,-0.009202044375252221,-0.4076885309274549,-0.2863282952184854,-0.14796066681713269,-0.4300809608398263,0.5515973235208846
lh_superiorfrontal_1,-0.5499147381655338,-1.075262617800941,0.33089228332835807,0.3267173618139281,0.4496275257188468,1.6066453190037135,0.42388132615266316,-0.40746492228806297,1.6136759340495612,0.18024574075950653,0.3489354915324504,-0.5381137647618919,0.30415970492561784,0.00860844319082438,-0.07343213921219727,0.41141946835722226,0.3543953021761683,0.005698482119383012,0.7900313754368294,-0.5366764967229107,0.8514447642681054,1.0269346940343071,-0.8019304215600992,-0.6526823692957149,-0.11733645555989541,0.3171161880626282,-0.061946071421813007,-0.39147748088368095,2.1516723436439453,1.3955396191812475,0.9581971739795484,0.3652060691658695,1.4814957232085684,0.21183175332860116,0.1721088206173216,0.25190589608166036,-0.2466755655074392,-0.03390534616560963,1.4580885364241694,0.2187688375083019,-0.5669486916467057,0.4208554251345275,-0.6361229429833295,0.4051726080645027,0.6502622872771423,-0.07518916540755237,0.23517252457046364,0.3597403247865503,0.324250840920723,-0.3792208283884769,-0.08915118982076493,-0.5305326807352035,0.28041499571880796,0.4175034866570664,-0.49854999253971355,0.46327295732011486,-0.12539328335759617,-1.2972559389150007,-0.3440062946502425,-0.4741449669668153,-0.29393226285278384,-0.41366182653389744,0.4198808833175454,0.0012435803924803518,-0.07157103369404935,0.3038900792092741,1.2288280852270492,1.4656005704200263,-0.23359328233840845,0.6951449905799755,0.19277438367217706,-0.3284866211738265,-0.38161850728143626,-1.4740106355920564,-0.559145358265411,-0.22395623665242625,-0.08378532338177215,-0.5337427989516214,0.7023528249392836,-0.8851035039698718,-0.8453298567987555,-0.4060324778908607,-0.3279049893320156,-1.022877740181247,0.6975954042403866,0.4524433000659367,0.21677827925784063,-0.47887625104789494,0.20703392497143552,0.028256270487504065,-0.2507719472876328,0.3072263627665982,1.7927532474927115,0.03506703960562284,-0.20940110027439804,0.49282777119797816,0.33319583083215104,0.47393728661952594,-0.29847104668398133,-0.3396395616973717,0.5263173510126598,-0.09751770109764227,-0.18337068783033392,-0.06710892085435384,1.0177609936717973,-0.8656644467934628,-0.3721965448099694,-0.5856265354446586,0.045110515424153994,0.01583500775459632,0.4376232757942298,-0.31604055581823204,0.3932526833313856,-0.11868472205147963,0.8359485684985177,-0.3193613677255316,0.31765120158522714,1.9443253413591313,-0.23936067844127132,-0.6076366493494522,-0.2681408010389029,0.05179514821183587,-0.4214696164809766
lh_superiorfrontal_2,-0.18955382848246674,-0.4908576028845478,-0.5049540805864305,-0.3494016554609234,0.32083157482810365,1.0062054164421377,-0.11131501053997989,-0.5403670763455248,1.3469626773724486,-0.13394075533266758,1.1768261089609797,-0.3718127008177281,0.39111009865451485,0.3661679184691807,-0.10281851950060372,0.668944519475605,-0.03765466715803731,-0.2059215264979805,0.7422388273139471,-0.30651594253118053,0.902105127537871,0.44823036656412474,-0.43620718189593005,-0.5663895071176814,0.020284100931156235,0.30383819572234777,0.0975500257703039,-0.19305691112159176,1.4260458781353447,1.0193818834010948,1.5677129873485731,1.1320176795302068,1.2763940278526338,0.12510400133798516,0.4475909428748556,0.44339704961937876,-0.47917467487612936,-0.3623256005904869,0.76290249644446,0.1720926184483497,-0.49511540133855086,-0.3043329345990146,-0.38462016199872967,0.6324274500402313,0.13046203389510716,-0.4170317896167972,-0.17577121298118448,0.18819697787607287,1.256674307768578,-0.44475965668739526,-0.3805192043032194,-0.09013091851701262,-0.052080681018801915,0.3407994714384657,-0.236435515183735,1.2923673441584251,0.558139243663532,0.8934422667647743,0.618857811493556,-0.16807681069357794,0.09950857082567782,-0.5944418691486139,-0.43605066784916785,-0.09413651534145787,-0.34600679973473225,0.9457555473333974,1.8210130908520474,2.0456082587743873,-0.3191050332278944,0.9055430613864259,0.12608793300290133,-0.6152645427951433,-0.49337806869955825,-1.6092728829150527,-0.7196414061115894,-0.41711113957737284,0.12376831055452961,-0.7039161313474589,0.6655463449064699,-0.8171346328024525,-0.13458992059216218,-0.4039225162806602,0.17524787001141542,0.5190471125869619,1.4278874022310433,1.0193444571818553,0.6527293179358882,-0.015104480849974134,0.20321592984912515,-0.200691296024293,-0.05207477017995902,0.1517341770375058,2.1172435322843484,-0.3570622341476453,-0.259898328141475,-0.21572479835349684,0.2735033701845986,0.6043238486511648,-0.06953744833519175,-0.301958629804524,0.6771936677473028,0.23138232599055206,-0.10353068775188129,0.03287705887910329,2.061721757811537,-0.7713830304397442,-0.2616546488556108,-0.33703721573719186,0.3322016949929483,-0.10920769387472339,-0.27999253488232784,-0.3348612008300815,1.0405894007055705,0.15824478468995595,0.046720424575532014,-0.3820442217122166,-0.070138674698724,1.120713237455683,-0.564719206419311,-0.6528114199327678,-0.5200873285549859,0.17856378676581008,0.09960499051411156
lh_superiorfrontal_3,0.39790035539644264,-0.4106732478377101,-0.18868414454649118,0.23067105692667592,-0.6179701560624127,0.451950431024206,0.17451509387085223,0.42317806448219414,1.469353969770289,0.0926841817787202,0.4296047642016667,-0.2538759889285759,0.3337390699216106,-0.04909861075210099,0.1378127747058166,-0.17964742794789385,-0.008931706648277632,-0.14477472336377104,0.30928110978521084,-0.16026550474332962,0.9873357285760502,0.6840254163571848,-0.3574778638382871,-0.034964555892289376,-0.2162529358292296,0.1340088100504399,0.37613187269589043,0.20645652391016364,0.30855058224207343,0.3373986235028795,0.43546997194471326,0.9111456814937224,1.3859080583212546,0.6412762777436871,0.13821492124127577,0.6463653631094537,-0.503003972706042,-0.5538995526749956,1.1022484161461503,-0.5876559960701367,-0.2504055533460542,0.46129772519411466,-0.2804794592699271,0.7431085720429859,-0.23997367237137052,0.04639420561092224,0.01283891039649552,-0.017877585707130612,0.34647797014187526,-0.37228675463185806,-0.12235121670042744,-0.6101243437163615,-0.25817089615855754,0.14206293972504397,0.34120006292731914,0.7368795457497559,0.10514748642040406,0.31796495414279313,0.31399536871635214,0.5082719418147646,-0.35612405994939356,-0.5471630593087122,-0.616814807525168,0.4369719420687678,0.2995676973127126,0.526157219527856,2.125638931026181,1.3225540414205115,0.04902077698333108,0.604866866954402,-0.5315373598685184,-0.5542947948652133,0.21016279125188855,-0.5739674762491584,-0.829091304801693,-0.25414413666780494,0.43888233070644866,-0.6202399842620161,0.5787770127788303,-0.6616309930984107,0.8604212766345828,0.05318079753838232,-0.1553170422050013,0.3282749966759862,1.5641028137168265,0.93182791126709,0.36192912499478364,0.032829432933969144,0.22371622240116748,0.04637486387664825,-0.2912792104631568,0.35490147951465656,1.9129854598916274,-0.15770420329457005,-0.17064207057559824,-0.48189511832139836,0.710898013552462,-0.09504522857482248,0.4766479679656583,-0.19535767927727757,0.7892595834083421,0.19607531175784437,0.4493308237911722,-0.47776109094832275,0.7968497675031936,-0.5811427963139477,-0.3171446041685672,-0.2741944049566878,0.10660049333904284,-0.08106218731586352,-0.48031838940656635,-0.23635570220929733,0.8930921993433938,0.3364614579871336,0.4082526010839071,0.2933435617998885,0.12069580609900087,0.6080829556843003,0.3227319063819756,-0.36226153977661446,-0.13185267724515826,-0.16259402856627664,0.581486780724658
lh_superiorfrontal_4,2.6139973536633496,-0.39294356573028677,-0.4853451239898688,0.1147027794384558,-1.2106483595160837,0.041852705890489485,-0.32667640063431996,0.17274475649027163,-0.09223629222108884,0.03476994389587444,-0.04440667137523896,-0.38047990324355824,0.2644659808280883,-0.04815952577005776,-0.008120404555838167,-0.06624239893405275,0.08340409957324721,0.05398598284694737,0.14146835878725866,2.0653698202395945,0.28625096239997944,-0.05383987386343726,-0.35365773223861713,-0.24851595805786938,0.5633866181549668,-0.48015950805931407,0.1211306488845188,0.4269209819029551,-0.7240958097508097,0.10648048293513451,0.2907413633138181,0.5168725447997035,0.10768431939540458,0.30258118304293635,0.21170727612392076,-0.28326294010091774,-0.8717602160639408,-0.6197207689401784,0.26615276129065324,-0.7493863893289373,0.5712867906860591,-0.08254151541184837,0.06303090167303078,0.44193862789845556,-0.3209597200332383,2.82115781740151,-0.6647480932540877,0.014174215593958745,0.32271190139172,0.41393647765689695,-0.4250460698267697,-0.030802814462357015,-0.24183341720975857,-0.27014189279565015,0.8860172510427892,0.14504322191540106,-0.008538829752769915,1.0825861511454757,0.13641195214962942,0.6900910599377905,0.024023268532870623,-0.17980020885813758,-0.5495330924686866,1.1784505463812773,0.4544414010797917,0.488116799030477,0.6661072705081846,0.2704652458243383,1.0053062864969966,0.9259667099994274,-1.0136916414840138,-0.27397723140820074,1.7337129348760756,3.6852562539066946,-0.3148639219854087,0.45972262470474384,0.28845276451254764,-0.5430333275721243,0.15503955638718844,-0.3614657369703288,2.2703314186098935,-0.6575029825947898,-0.5403721689317357,0.9637710695656762,0.5063695715326649,0.2465775942499926,-0.5086868398807912,1.0752902604459122,-0.21177002104395293,0.3013878802676178,0.9751783301813614,-0.050058588980948185,0.8069934433383368,0.06371236747518658,1.0798642402330298,-1.6550411396303921,0.6165601889924909,-0.7426756424277944,-0.03764481778150006,-0.06642184104027153,0.07200124931284345,0.17991028556205607,1.0380620187522855,-0.07597671964403097,-0.20190633606709166,0.47811086671442465,0.18140583417836809,0.5745861862143985,0.536801123046451,-0.7787722501621755,-0.7657578535979302,-0.14897612427049936,1.0942880024592385,0.022303786253010358,-0.4311174445021681,0.5977559490091665,-0.15273641494705148,-0.5981504723146954,-0.052862395493822045,-0.10294858040183555,-0.0475006854622002,-0.16480416607258577,1.235220151517514
